shape,threshold_delta_t_K,status,detection_probability,iou_mean,tpr_mean,f1_mean
circle,1.5,reached,1.0,0.7125279642058165,0.7125279642058165,0.8314808516594532
rectangle,1.5,reached,1.0,0.707908163265306,0.707908163265306,0.8282640087535788
gaussian,2.0,reached,1.0,0.5445087422104621,0.5618556701030928,0.7037457709615741
