temperature_K,shape_rows,shape_cols,center_power_W,corner_power_W,mean_power_W,corner_to_center_ratio,min_power_W,max_power_W
300,48,64,2.171514293252049e-09,1.7983865217875371e-09,2.0334729472206187e-09,0.8281716253841841,1.7983865217875371e-09,2.171514293252049e-09
350,48,64,4.207739213407567e-09,3.4847302235605133e-09,3.940256753553184e-09,0.8281716253841842,3.4847302235605133e-09,4.207739213407567e-09
400,48,64,6.994223899892345e-09,5.79241777547475e-09,6.549606940848331e-09,0.8281716253841841,5.79241777547475e-09,6.994223899892345e-09
