tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,noise_type,noise_level,frame_idx,snr_like,gaussian_sigma,fpn_std,quant_bits,defect_rate
184,0,12091,13,0.934010152284264,0.934010152284264,0.0,1.0,0.9658792650918635,0.934010152284264,gaussian,6.0,0,4.48134415174155,6.0,0.0,10,0.0
187,0,12091,10,0.949238578680203,0.949238578680203,0.0,1.0,0.9739583333333333,0.949238578680203,gaussian,6.0,1,4.525680575802442,6.0,0.0,10,0.0
185,0,12091,12,0.9390862944162437,0.9390862944162437,0.0,1.0,0.9685863874345549,0.9390862944162437,gaussian,6.0,2,4.475660845645394,6.0,0.0,10,0.0
180,0,12091,17,0.9137055837563451,0.9137055837563451,0.0,1.0,0.9549071618037135,0.9137055837563451,gaussian,6.0,3,4.3972025135247375,6.0,0.0,10,0.0
188,0,12091,9,0.9543147208121827,0.9543147208121827,0.0,1.0,0.9766233766233766,0.9543147208121827,gaussian,6.0,4,4.582347696514721,6.0,0.0,10,0.0
184,1,12090,13,0.934010152284264,0.934010152284264,8.270614506657845e-05,0.9945945945945946,0.9633507853403142,0.9292929292929293,gaussian,6.0,5,4.3914912933568555,6.0,0.0,10,0.0
186,0,12091,11,0.9441624365482234,0.9441624365482234,0.0,1.0,0.9712793733681463,0.9441624365482234,gaussian,6.0,6,4.3761434654772025,6.0,0.0,10,0.0
185,0,12091,12,0.9390862944162437,0.9390862944162437,0.0,1.0,0.9685863874345549,0.9390862944162437,gaussian,6.0,7,4.499716344226583,6.0,0.0,10,0.0
186,0,12091,11,0.9441624365482234,0.9441624365482234,0.0,1.0,0.9712793733681463,0.9441624365482234,gaussian,6.0,8,4.416224861418246,6.0,0.0,10,0.0
180,0,12091,17,0.9137055837563451,0.9137055837563451,0.0,1.0,0.9549071618037135,0.9137055837563451,gaussian,6.0,9,4.402192278509626,6.0,0.0,10,0.0
139,0,12091,58,0.7055837563451777,0.7055837563451777,0.0,1.0,0.8273809523809524,0.7055837563451777,gaussian,8.0,0,3.3836900451776804,8.0,0.0,10,0.0
108,0,12091,89,0.5482233502538071,0.5482233502538071,0.0,1.0,0.7081967213114755,0.5482233502538071,gaussian,8.0,1,3.441074002966029,8.0,0.0,10,0.0
101,0,12091,96,0.5126903553299492,0.5126903553299492,0.0,1.0,0.6778523489932886,0.5126903553299492,gaussian,8.0,2,3.3358608201845237,8.0,0.0,10,0.0
127,0,12091,70,0.6446700507614214,0.6446700507614214,0.0,1.0,0.7839506172839507,0.6446700507614214,gaussian,8.0,3,3.218645305851066,8.0,0.0,10,0.0
104,0,12091,93,0.5279187817258884,0.5279187817258884,0.0,1.0,0.6910299003322259,0.5279187817258884,gaussian,8.0,4,3.409302848166426,8.0,0.0,10,0.0
150,0,12091,47,0.7614213197969543,0.7614213197969543,0.0,1.0,0.8645533141210375,0.7614213197969543,gaussian,8.0,5,3.5025277653865374,8.0,0.0,10,0.0
107,0,12091,90,0.5431472081218274,0.5431472081218274,0.0,1.0,0.7039473684210527,0.5431472081218274,gaussian,8.0,6,3.4161768394403165,8.0,0.0,10,0.0
102,0,12091,95,0.5177664974619289,0.5177664974619289,0.0,1.0,0.6822742474916388,0.5177664974619289,gaussian,8.0,7,3.4195222172415627,8.0,0.0,10,0.0
141,0,12091,56,0.7157360406091371,0.7157360406091371,0.0,1.0,0.834319526627219,0.7157360406091371,gaussian,8.0,8,3.4291370986790737,8.0,0.0,10,0.0
101,0,12091,96,0.5126903553299492,0.5126903553299492,0.0,1.0,0.6778523489932886,0.5126903553299492,gaussian,8.0,9,3.3753861189201646,8.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,0,22.485346807563623,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,1,22.89340839354435,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,2,22.670112943018736,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,3,22.695491360138874,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,4,23.081822232256986,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,5,22.622638280472497,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,6,22.96675991891327,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,7,22.851012003218795,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,8,22.684620602117036,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,0.0,9,22.519762233147098,1.0,0.0,10,0.0
197,0,12091,0,1.0,1.0,0.0,1.0,1.0,1.0,fpn,1.0,0,17.56200688812952,1.0,1.0,10,0.0
