noise_type,snr_like_mean,tpr_mean,fpr_mean,iou_mean
combined,4.393562487813733,0.4968697123519458,2.7568715022192816e-06,0.4967039258917431
defects,4.259765104339292,0.9950084602368866,2.4811843519973536e-05,0.9935098700187086
fpn,11.025734983498833,0.9075296108291032,1.3784357511096408e-06,0.9074514177306056
gaussian,12.933853215075294,0.9225888324873097,8.270614506657845e-06,0.922092707916516
quantization,23.227029342156342,0.9957698815566836,0.0,0.9957698815566836
