temperature_K,central_pixel_power_W
280,1.5690016291308671e-09
300,2.1716533296935707e-09
320,2.894743154075035e-09
340,3.73981340317406e-09
360,4.7063873387764366e-09
380,5.792414791271363e-09
400,6.994671721951481e-09
