temperature_K,p_min_W,p_max_W,p_mean_W,p_std_W,p_center_W,p_edge_W,p_corner_W,p_center_edge_ratio,p_center_corner_ratio
280,1.2943102229664748e-09,1.5689855560532999e-09,1.4691443280715217e-09,6.27765066510447e-11,1.5689855560532999e-09,1.4225355121826198e-09,1.2943102229664748e-09,1.1029500090623252,1.2122175412145684
300,1.7914532739641474e-09,2.1716310829656072e-09,2.03344095545922e-09,8.688888982912645e-11,2.1716310829656072e-09,1.968929747606443e-09,1.7914532739641474e-09,1.1029500090623248,1.2122175412145684
320,2.38794886354387e-09,2.894713499911273e-09,2.7105105610304553e-09,1.1582006002474361e-10,2.894713499911273e-09,2.6245192222013933e-09,2.38794886354387e-09,1.102950009062325,1.2122175412145684
340,3.085069275802195e-09,3.739775091989546e-09,3.5017972877201866e-09,1.496317254355385e-10,3.739775091989546e-09,3.39070226325935e-09,3.085069275802195e-09,1.102950009062325,1.2122175412145684
360,3.882421236995568e-09,4.706339125869992e-09,4.4068547387686055e-09,1.8830481153722794e-10,4.706339125869992e-09,4.2670466360221476e-09,3.882421236995568e-09,1.1029500090623252,1.2122175412145686
380,4.77831350892716e-09,5.792355452944039e-09,5.423763225247816e-09,2.3175729006176003e-10,5.792355452944039e-09,5.251693553970248e-09,4.77831350892716e-09,1.102950009062325,1.2122175412145684
400,5.770086498272975e-09,6.994600067531844e-09,6.549503898679614e-09,2.7986016567630785e-10,6.994600067531844e-09,6.34171994202921e-09,5.770086498272975e-09,1.102950009062325,1.2122175412145682
