min,max,mean,std,dynamic_range,saturated_fraction,zero_fraction,temperature_K,center_adc,edge_adc,corner_adc,center_edge_ratio,center_corner_ratio,readout_min_V,readout_max_V,readout_mean_V
29.0,115.0,75.86802083333333,12.37798693916877,86.0,0.0,0.0,280,81.0,68.25,44.25,1.1868131868131868,1.8305084745762712,5.3435453883921005,14.524898936851825,10.37466076101611
110.0,212.0,167.57286458333334,15.805349276510647,102.0,0.0,0.0,300,179.0,157.0,125.25,1.1401273885350318,1.4291417165668663,14.077323011107977,25.001271846925018,20.208560439849784
208.0,329.0,277.60020833333334,20.156979249297184,121.0,0.0,0.0,320,296.0,263.5,222.25,1.1233396584440227,1.3318335208098988,24.55632317817091,37.57103344703693,32.00748564365433
322.0,466.0,406.18572916666665,25.39509845442586,144.0,0.0,0.0,340,434.0,388.0,335.25,1.1185567010309279,1.2945563012677106,36.802788981038496,52.26083892937438,45.796465630964555
453.0,623.0,553.2565625,31.50033578948422,170.0,0.0,0.0,360,591.0,530.75,464.75,1.1135186057465851,1.2716514254975793,50.80968516484318,69.06221912279518,61.56756077497289
600.0,799.0,718.49484375,38.422643802143796,199.0,0.0,0.0,380,767.0,690.5,610.25,1.110789283128168,1.25686194182712,66.54715900067386,87.93933119202178,79.28713770044342
762.0,994.0,901.4161979166666,46.13408964324352,232.0,0.0,0.0,400,962.0,867.75,771.25,1.1086142322097379,1.247325769854133,83.96833413142345,108.83590928196794,98.90239340379892
