temperature_K,shape_rows,shape_cols,min_adc,max_adc,mean_adc,std_adc
300,6,8,-420.0,24.0,-184.9375,108.45590621884084
320,6,8,-386.0,61.0,-149.22916666666666,108.82061683939104
