quant_step,num_levels,snr_like_mean,snr_like_std,sigma_bg_mean,sigma_bg_std,contrast_mean,contrast_std,tpr_mean,fpr_mean,precision_mean,f1_mean,iou_mean,detection_probability
1,1024,22.940071482692993,0.12842975051825978,1.1823495095035583,0.005880584190079093,27.122567988019785,0.06482908346541875,1.0,0.0,1.0,1.0,1.0,1.0
2,512,21.072398012181015,0.11781148320690393,1.2864283301403319,0.005954774147949788,27.10761144233219,0.08661288301876986,1.0,0.0,1.0,1.0,1.0,1.0
4,256,15.1051932542148,0.10508350746651535,1.774640877214497,0.007386921897066802,26.806076424676327,0.18520260123586008,1.0,0.0,1.0,1.0,1.0,1.0
8,128,33.735578266687206,1.9299363685889221,0.7203020217481257,0.03912049395701566,24.232066893737716,0.10757965567428514,1.0,0.0,1.0,1.0,1.0,1.0
16,64,inf,,0.0,0.0,31.528934010152273,0.13151900157282806,1.0,0.0,1.0,1.0,1.0,1.0
32,32,inf,,0.0,0.0,32.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
64,16,2.528004463346268,0.017421018346345744,21.891389960633596,0.11002526850543017,55.33980646762054,0.10319690859924958,0.0,0.0,0.0,0.0,0.0,0.0
