temperature_K,fov_case,fov_rad,P_center,P_edge,P_corner,edge_drop_percent,corner_drop_percent,radial_nonuniformity_index
300,narrow,0.3490658503988659,2.171643198550383e-09,2.075344104414627e-09,1.9848431758835436e-09,4.434388402295438,8.601782410274957,0.025811478083646207
340,narrow,0.3490658503988659,3.739795956289437e-09,3.5739588781342245e-09,3.4181068455411587e-09,4.434388402295445,8.60178241027495,0.025811478083646183
380,narrow,0.3490658503988659,5.792387768641714e-09,5.535530797213086e-09,5.294139176423774e-09,4.434388402295437,8.601782410274936,0.025811478083646172
420,narrow,0.3490658503988659,8.309061553101103e-09,7.940605491250798e-09,7.594334157967534e-09,4.43438840229544,8.60178241027494,0.025811478083646172
300,medium,0.5235987755982988,2.1716310829656072e-09,1.968929747606443e-09,1.7914532739641474e-09,9.3340594058155,17.506555877911094,0.05308978785179376
340,medium,0.5235987755982988,3.739775091989546e-09,3.39070226325935e-09,3.085069275802195e-09,9.334059405815507,17.506555877911094,0.053089787851793746
380,medium,0.5235987755982988,5.792355452944039e-09,5.251693553970248e-09,4.77831350892716e-09,9.334059405815514,17.506555877911097,0.05308978785179374
420,medium,0.5235987755982988,8.30901519689502e-09,7.5334467823786e-09,6.854392808546469e-09,9.334059405815518,17.506555877911094,0.053089787851793746
300,wide,0.7853981633974483,2.171605817699392e-09,1.773343117600297e-09,1.4693095175022248e-09,18.339548404830495,32.3399529727353,0.09995220005858114
340,wide,0.7853981633974483,3.739731582567515e-09,3.053881698771812e-09,2.5303041474586513e-09,18.339548404830488,32.33995297273529,0.09995220005858113
380,wide,0.7853981633974483,5.792288063319861e-09,4.730008590200097e-09,3.919064827596859e-09,18.33954840483048,32.33995297273528,0.09995220005858114
420,wide,0.7853981633974483,8.308918527860125e-09,6.785100392525289e-09,5.621818183407272e-09,18.339548404830484,32.33995297273528,0.09995220005858113
