temperature_K,fov_case,radius_px,mean_power_W
300,narrow,1.2412506294056813,2.1716026749701486e-09
300,narrow,3.723751888217044,2.171344366457305e-09
300,narrow,6.206253147028407,2.17083999067448e-09
300,narrow,8.68875440583977,2.1700816237926064e-09
300,narrow,11.171255664651131,2.1690751052768207e-09
300,narrow,13.653756923462495,2.1678653866175317e-09
300,narrow,16.136258182273856,2.1663885130413564e-09
300,narrow,18.61875944108522,2.1646255350540292e-09
300,narrow,21.10126069989658,2.162629592578033e-09
300,narrow,23.583761958707946,2.1603932758144243e-09
300,narrow,26.066263217519307,2.157934346613221e-09
300,narrow,28.54876447633067,2.155179512228279e-09
300,narrow,31.031265735142032,2.1522362423082564e-09
300,narrow,33.513766993953396,2.1490442665617e-09
300,narrow,35.996268252764764,2.1456484326030706e-09
300,narrow,38.47876951157612,2.141925142253011e-09
300,narrow,40.961270770387486,2.138003233085991e-09
300,narrow,43.44377202919884,2.1338365169723307e-09
300,narrow,45.92627328801021,2.1294974036655745e-09
300,narrow,48.408774546821576,2.124893639914357e-09
300,narrow,50.89127580563293,2.1200729901286985e-09
300,narrow,53.3737770644443,2.11499192163044e-09
300,narrow,55.856278323255665,2.1097452500531366e-09
300,narrow,58.33877958206702,2.1042697687826807e-09
300,narrow,60.82128084087839,2.0986417282420023e-09
300,narrow,63.30378209968974,2.092672192159348e-09
300,narrow,65.78628335850111,2.0865752948213835e-09
300,narrow,68.26878461731248,2.0802476804501977e-09
300,narrow,70.75128587612383,2.0736818391415174e-09
300,narrow,73.2337871349352,2.0669120485523348e-09
300,narrow,75.71628839374657,2.0600381130795346e-09
300,narrow,78.19878965255792,2.0529271723156974e-09
300,narrow,80.68129091136929,2.0458652667924925e-09
300,narrow,83.16379217018064,2.0382192071052624e-09
300,narrow,85.64629342899201,2.0305588969922023e-09
300,narrow,88.12879468780338,2.022626347915905e-09
300,narrow,90.61129594661473,2.0144973970843774e-09
300,narrow,93.0937972054261,2.006364303485484e-09
300,narrow,95.57629846423745,1.998181467295258e-09
300,narrow,98.05879972304882,1.9905225213218813e-09
340,narrow,1.2412506294056813,3.739726170460165e-09
340,narrow,3.723751888217044,3.7392813362754085e-09
340,narrow,6.206253147028407,3.738412748602111e-09
340,narrow,8.68875440583977,3.737106761780655e-09
340,narrow,11.171255664651131,3.735373431978697e-09
340,narrow,13.653756923462495,3.73329017034839e-09
340,narrow,16.136258182273856,3.730746840103432e-09
340,narrow,18.61875944108522,3.727710808239435e-09
340,narrow,21.10126069989658,3.724273587242127e-09
340,narrow,23.583761958707946,3.720422416665345e-09
340,narrow,26.066263217519307,3.7161878842662843e-09
340,narrow,28.54876447633067,3.7114437722961733e-09
340,narrow,31.031265735142032,3.706375154692454e-09
340,narrow,33.513766993953396,3.700878239730772e-09
340,narrow,35.996268252764764,3.6950302596780685e-09
340,narrow,38.47876951157612,3.6886183655858255e-09
340,narrow,40.961270770387486,3.6818644291870895e-09
340,narrow,43.44377202919884,3.674688909707981e-09
340,narrow,45.92627328801021,3.667216504291971e-09
340,narrow,48.408774546821576,3.6592883432238878e-09
340,narrow,50.89127580563293,3.6509866817966666e-09
340,narrow,53.3737770644443,3.6422365522007456e-09
340,narrow,55.856278323255665,3.6332012368405265e-09
340,narrow,58.33877958206702,3.6237718873379662e-09
340,narrow,60.82128084087839,3.6140798148695645e-09
340,narrow,63.30378209968974,3.6037996514809666e-09
340,narrow,65.78628335850111,3.5933001587348044e-09
340,narrow,68.26878461731248,3.582403347207886e-09
340,narrow,70.75128587612383,3.5710962840622316e-09
340,narrow,73.2337871349352,3.559437998996226e-09
340,narrow,75.71628839374657,3.5476003655847455e-09
340,narrow,78.19878965255792,3.535354584357073e-09
340,narrow,80.68129091136929,3.523193246925119e-09
340,narrow,83.16379217018064,3.5100259351314794e-09
340,narrow,85.64629342899201,3.4968340826191187e-09
340,narrow,88.12879468780338,3.48317340623434e-09
340,narrow,90.61129594661473,3.46917450555447e-09
340,narrow,93.0937972054261,3.4551684705973602e-09
340,narrow,95.57629846423745,3.4410767737128942e-09
340,narrow,98.05879972304882,3.4278872703912654e-09
380,narrow,1.2412506294056813,5.792279680770444e-09
380,narrow,3.723751888217044,5.791590698772236e-09
380,narrow,6.206253147028407,5.79024538563922e-09
380,narrow,8.68875440583977,5.788222606273972e-09
380,narrow,11.171255664651131,5.785537936184687e-09
380,narrow,13.653756923462495,5.782311273733765e-09
380,narrow,16.136258182273856,5.77837203341833e-09
380,narrow,18.61875944108522,5.773669671567639e-09
380,narrow,21.10126069989658,5.76834592741271e-09
380,narrow,23.583761958707946,5.762381036920118e-09
380,narrow,26.066263217519307,5.7558223759768685e-09
380,narrow,28.54876447633067,5.74847445206072e-09
380,narrow,31.031265735142032,5.740623917177304e-09
380,narrow,33.513766993953396,5.7321100133810915e-09
380,narrow,35.996268252764764,5.723052361967899e-09
380,narrow,38.47876951157612,5.7131212915705235e-09
380,narrow,40.961270770387486,5.702660448507567e-09
380,narrow,43.44377202919884,5.691546635949281e-09
380,narrow,45.92627328801021,5.679972991226437e-09
380,narrow,48.408774546821576,5.6676934487767055e-09
380,narrow,50.89127580563293,5.654835409816164e-09
380,narrow,53.3737770644443,5.641282760356717e-09
380,narrow,55.856278323255665,5.627288400560073e-09
380,narrow,58.33877958206702,5.612683740476139e-09
380,narrow,60.82128084087839,5.597672161589236e-09
380,narrow,63.30378209968974,5.581749717325503e-09
380,narrow,65.78628335850111,5.565487564504696e-09
380,narrow,68.26878461731248,5.548610023980175e-09
380,narrow,70.75128587612383,5.531097064709228e-09
380,narrow,73.2337871349352,5.513040114915992e-09
380,narrow,75.71628839374657,5.49470538120759e-09
380,narrow,78.19878965255792,5.475738487230034e-09
380,narrow,80.68129091136929,5.456902384133899e-09
380,narrow,83.16379217018064,5.436508176356039e-09
380,narrow,85.64629342899201,5.416075958654478e-09
380,narrow,88.12879468780338,5.394917602496171e-09
380,narrow,90.61129594661473,5.373235387204149e-09
380,narrow,93.0937972054261,5.351542121977661e-09
380,narrow,95.57629846423745,5.329716179165001e-09
380,narrow,98.05879972304882,5.309287600010521e-09
420,narrow,1.2412506294056813,8.308906503264766e-09
420,narrow,3.723751888217044,8.307918172707359e-09
420,narrow,6.206253147028407,8.305988348586996e-09
420,narrow,8.68875440583977,8.303086713039534e-09
420,narrow,11.171255664651131,8.299235608812292e-09
420,narrow,13.653756923462495,8.294607027649109e-09
