scenario,alpha,window,center_error_px_mean,center_error_px_std,tracking_detection_probability
moving_with_noise_burst,0.0,1,0.03339666680533552,0.07831117283166578,1.0
moving_with_noise_burst,0.0,3,0.9922063363175069,0.14292698971050558,1.0
moving_with_noise_burst,0.0,5,1.937904298796136,0.3134422392878247,1.0
moving_with_noise_burst,0.0,10,4.235578414598281,0.9242155896348091,1.0
moving_with_noise_burst,0.3,1,0.3876371420337628,0.12719764658418897,1.0
moving_with_noise_burst,0.3,3,1.2138255819484485,0.20071225035464665,1.0
moving_with_noise_burst,0.3,5,2.258412169450281,0.3887572240811318,1.0
moving_with_noise_burst,0.3,10,4.621896081848086,0.995985757118858,1.0
moving_with_noise_burst,0.6,1,1.4476435656471112,0.329957996558718,1.0
moving_with_noise_burst,0.6,3,2.4284285180790324,0.4041406405012,1.0
moving_with_noise_burst,0.6,5,3.3710014916542113,0.5919295846723638,1.0
moving_with_noise_burst,0.6,10,5.523358612850562,1.1896343160411862,1.0
moving_with_noise_burst,0.9,1,8.224979267258584,2.59473773237114,0.95
moving_with_noise_burst,0.9,3,9.233239902667961,2.8493806819310077,0.45
moving_with_noise_burst,0.9,5,10.085620684403239,3.071166826167543,0.2125
moving_with_noise_burst,0.9,10,11.955366988552493,3.6319094473860423,0.0875
