scenario,alpha,window,detection_delay_frames,detection_probability,iou,snr_like
appearing,0.0,1,0.0,1.0,0.999,9.726238460893933
appearing,0.0,3,0.0,1.0,0.9995555555555555,16.56890712077709
appearing,0.0,5,0.0,1.0,0.996868754660701,21.023631822394044
appearing,0.0,10,0.0,1.0,0.9881439224459359,28.20239480473998
appearing,0.3,1,0.0,1.0,0.9991111111111111,13.160372380772516
appearing,0.3,3,0.0,1.0,0.9973206364727322,18.550581908716747
appearing,0.3,5,0.0,1.0,0.9925063385533185,22.389801445052466
appearing,0.3,10,1.0,0.9833333333333333,0.9832214765100671,27.993911743164062
appearing,0.6,1,0.0,1.0,0.9993333333333332,18.96801973749818
appearing,0.6,3,0.0,1.0,0.9914996271439224,22.60696583508853
appearing,0.6,5,1.0,0.9833333333333333,0.9829977628635347,25.312645428925787
appearing,0.6,10,1.0,0.9833333333333333,0.9774049217002237,27.449688720703126
appearing,0.9,1,0.0,1.0,0.9956383296047726,25.929913330078126
appearing,0.9,3,1.0,0.9833333333333333,0.9790827740492171,25.423097991943358
appearing,0.9,5,2.0,0.9666666666666667,0.9664436987322894,24.91597671508789
appearing,0.9,10,3.0,0.95,0.9459739000745712,23.6486452738444
appearing_and_growing,0.0,1,5.0,0.9166666666666666,0.906606263982103,8.15728196548584
appearing_and_growing,0.0,3,4.0,0.9333333333333333,0.9237136465324384,13.876795446332903
appearing_and_growing,0.0,5,4.0,0.9333333333333333,0.9224847129008202,17.568791477873802
appearing_and_growing,0.0,10,5.0,0.9166666666666666,0.9063967188665175,23.358769087844404
appearing_and_growing,0.3,1,4.0,0.9333333333333333,0.9199127516778524,11.028567015681698
appearing_and_growing,0.3,3,4.0,0.9333333333333333,0.926510067114094,15.522695229915026
appearing_and_growing,0.3,5,4.0,0.9333333333333333,0.9234362416107383,18.69066718752334
appearing_and_growing,0.3,10,5.0,0.9166666666666666,0.9045555555555556,23.15469919840495
appearing_and_growing,0.6,1,4.0,0.9333333333333333,0.9295324384787471,15.854771862654498
appearing_and_growing,0.6,3,4.0,0.9333333333333333,0.9250999254287845,18.85980606030238
appearing_and_growing,0.6,5,5.0,0.9166666666666666,0.9154444444444445,21.05819542324633
appearing_and_growing,0.6,10,6.0,0.9,0.8959142431021625,22.610796610514324
appearing_and_growing,0.9,1,4.0,0.9333333333333333,0.9167785234899329,21.117611694335938
appearing_and_growing,0.9,3,5.0,0.9166666666666666,0.9032445935868754,20.613490549723306
appearing_and_growing,0.9,5,6.0,0.9,0.8876957494407158,20.110158030192057
appearing_and_growing,0.9,10,8.0,0.8666666666666667,0.8586129753914988,18.854122924804688
intermittent,0.0,1,0.0,1.0,0.9997916666666666,9.701998429588865
intermittent,0.0,3,0.0,1.0,0.9995819351230425,15.261280363556894
intermittent,0.0,5,0.0,1.0,0.988255033557047,17.650409835742302
intermittent,0.0,10,0.0,1.0,0.9435822147651007,17.63690031504465
intermittent,0.3,1,0.0,1.0,1.0,12.702483218806993
intermittent,0.3,3,0.0,1.0,0.9920315995525727,16.446836907981762
intermittent,0.3,5,0.0,1.0,0.9628775167785235,18.00939406407415
intermittent,0.3,10,1.0,0.9375,0.9215604026845637,16.48361301422119
intermittent,0.6,1,0.0,1.0,1.0,16.729177411967775
intermittent,0.6,3,0.0,1.0,0.9609899328859061,18.105814104665722
intermittent,0.6,5,1.0,0.90625,0.919253355704698,18.179886731778623
intermittent,0.6,10,1.0,0.96875,0.9509228187919463,14.268696784973145
intermittent,0.9,1,0.0,1.0,0.9926593959731543,16.08816432952881
intermittent,0.9,3,1.0,0.96875,0.9612499999999999,14.53116750717163
intermittent,0.9,5,2.0,0.9375,0.9381431767337808,13.176198959350586
intermittent,0.9,10,3.0,0.90625,0.8981473713646533,10.922706604003906
moving_with_noise_burst,0.0,1,0.0,1.0,0.9677164307052342,8.89399335587145
moving_with_noise_burst,0.0,3,0.0,1.0,0.8139716540359971,12.34484788092451
moving_with_noise_burst,0.0,5,0.0,1.0,0.6927311976191415,11.948589094641527
moving_with_noise_burst,0.0,10,0.0,1.0,0.5138999522387184,8.064698819119537
moving_with_noise_burst,0.3,1,0.0,1.0,0.9227664090257732,11.348056394797988
moving_with_noise_burst,0.3,3,0.0,1.0,0.782208892174878,12.38220048417189
moving_with_noise_burst,0.3,5,0.0,1.0,0.6510053519309313,11.18112549309098
moving_with_noise_burst,0.3,10,0.0,1.0,0.48312053402278743,7.299675557188552
moving_with_noise_burst,0.6,1,0.0,1.0,0.7680429626409452,13.180739601677118
moving_with_noise_burst,0.6,3,0.0,1.0,0.6389069850288099,11.356695585072398
moving_with_noise_burst,0.6,5,0.0,1.0,0.5516375777797138,9.402341398035665
moving_with_noise_burst,0.6,10,0.0,1.0,0.4280536328869367,5.886115191239045
moving_with_noise_burst,0.9,1,0.0,0.95,0.3837019263203855,7.072119425323867
moving_with_noise_burst,0.9,3,16.0,0.45,0.33133049299317757,5.675096535306417
moving_with_noise_burst,0.9,5,,0.2125,0.29523766847677513,4.6105271248804796
moving_with_noise_burst,0.9,10,,0.0875,0.2309987902570083,2.910660031081046
