row,col,coef_a,coef_b
0,0,1.1377483916546414,137.12771314333813
0,1,1.1231618738129152,-71.99919315348998
0,2,1.1231618738129152,59.41074608262119
0,3,1.1160079765274826,96.06731577317774
0,4,1.108944634903891,-13.011868919948443
0,5,1.108944634903891,41.326418190342416
0,6,1.101970140344747,-141.65642106335878
0,7,1.101970140344747,-128.43277937922196
0,8,1.0950828269675923,-154.8043023003469
0,9,1.0882810702783527,-160.17088832815705
0,10,1.0815632858939184,-94.08804333847725
0,11,1.0749279283117472,117.3741674477392
0,12,1.0749279283117472,143.17243772722108
0,13,1.0749279283117472,-145.98317498863875
0,14,1.0683734897244803,202.32624597730353
0,15,1.0618984988776654,149.26369598765442
0,16,1.0555015199687638,-76.26179544567144
0,17,1.0555015199687638,-28.764227047077128
0,18,1.0491811515857172,70.22538256819703
0,19,1.0491811515857172,152.06151239188304
0,20,1.0491811515857172,-107.08623204978925
0,21,1.0429360256834213,141.96314380787044
0,22,1.0429360256834213,-114.5991185102513
0,23,1.0429360256834213,-101.0409501763667
0,24,1.0306661900871457,-137.60506025326802
0,25,1.0306661900871457,-4.649121732025934
0,26,1.0306661900871457,9.780204929193989
0,27,1.0306661900871457,29.362862540849637
0,28,1.0246389024258173,65.24330598873726
0,29,1.0246389024258173,131.8448346464155
0,30,1.0186816995047372,-4.2176800710592435
0,31,1.0246389024258173,28.35630550140795
0,32,1.0186816995047372,53.84717680071074
0,33,1.0186816995047372,42.641678106158544
0,34,1.0186816995047372,146.54721145564173
0,35,1.0127933659815884,-98.19548310051374
0,36,1.0127933659815884,215.77046035377865
0,37,1.0127933659815884,-42.49184797152626
0,38,1.0069727144529586,-73.27727390644937
0,39,1.0069727144529586,232.84243128724992
0,40,1.0069727144529586,159.33342313218398
0,41,1.0069727144529586,50.58036997126437
0,42,1.0012185846560844,9.426833664021188
0,43,1.0069727144529586,-122.61893691464435
0,44,1.0069727144529586,-98.45159176777346
0,45,1.0069727144529586,-252.51841707907627
0,46,1.0069727144529586,74.74771511813542
0,47,1.0012185846560844,112.55234788359792
0,48,1.0012185846560844,89.52432043650803
0,49,1.0069727144529586,-95.43067362441447
0,50,1.0069727144529586,74.74771511813542
0,51,1.0069727144529586,51.587342685717424
0,52,1.0069727144529586,-62.2005740474669
0,53,1.0069727144529586,-175.98849078065123
0,54,1.0069727144529586,-88.3818646232439
0,55,1.0069727144529586,-131.68169134472103
0,56,1.0127933659815884,22.32692745129522
0,57,1.0069727144529586,-89.38883733769678
0,58,1.0069727144529586,-28.97047447051934
0,59,1.0127933659815884,-125.54090398201663
0,60,1.0127933659815884,82.08173604420894
0,61,1.0127933659815884,-48.56860816741589
0,62,1.0186816995047372,-108.12321342054236
0,63,1.0186816995047372,-100.99244152400934
0,64,1.0186816995047372,-102.01112322351418
0,65,1.0246389024258173,118.52452891487975
0,66,1.0246389024258173,75.4896950129956
0,67,1.0246389024258173,65.24330598873726
0,68,1.0246389024258173,-134.5612799842971
0,69,1.0306661900871457,-103.59307598039193
0,70,1.0306661900871457,-163.37171500544645
0,71,1.0367648065965371,-81.58926761450783
0,72,1.0367648065965371,-39.081910544049755
0,73,1.0367648065965371,-145.86868562349312
0,74,1.0491811515857172,49.24175953648271
0,75,1.0429360256834213,-28.03542837852711
0,76,1.0555015199687638,-188.14495656236056
0,77,1.0555015199687638,18.733341351517367
0,78,1.0555015199687638,-248.30854320057972
0,79,1.0555015199687638,95.78495230923718
0,80,1.0618984988776654,-82.23017676767654
0,81,1.0683734897244803,-157.71562005984637
0,82,1.0683734897244803,-92.54483718665301
0,83,1.0749279283117472,72.22719445864583
0,84,1.0815632858939184,-5.399853895175994
0,85,1.0815632858939184,-179.53154292409678
0,86,1.0882810702783527,-81.81465126811588
0,87,1.0950828269675923,194.52711950231486
0,88,1.0950828269675923,49.9761863425927
0,89,1.101970140344747,17.027279146284716
0,90,1.108944634903891,-46.28020796706514
0,91,1.1160079765274826,123.96751518636468
0,92,1.1160079765274826,42.49893289985848
0,93,1.1231618738129152,25.715889868233763
0,94,1.1304080794504179,42.62853382616492
0,95,1.1304080794504179,-297.624298088411
1,0,1.1304080794504179,26.802820713859006
