tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,size_px,fill_factor,frame_idx,snr_like,anomaly_area_px
0,0,11264,1024,0.0,0.0,0.0,0.0,0.0,0.0,32,0.1,1,1.5667926056070907,1024
4,0,11264,1020,0.00390625,0.00390625,0.0,1.0,0.007782101167315175,0.00390625,32,0.1,2,1.498951920799607,1024
0,0,11264,1024,0.0,0.0,0.0,0.0,0.0,0.0,32,0.1,3,1.4946963129586481,1024
4,0,11264,1020,0.00390625,0.00390625,0.0,1.0,0.007782101167315175,0.00390625,32,0.1,4,1.5332196749428577,1024
0,0,11264,1024,0.0,0.0,0.0,0.0,0.0,0.0,32,0.1,5,1.5545679290398722,1024
0,0,11264,1024,0.0,0.0,0.0,0.0,0.0,0.0,32,0.1,6,1.5008790206588483,1024
0,0,11264,1024,0.0,0.0,0.0,0.0,0.0,0.0,32,0.1,7,1.4720299468517335,1024
0,0,11264,1024,0.0,0.0,0.0,0.0,0.0,0.0,32,0.1,8,1.4985820454802534,1024
0,0,11264,1024,0.0,0.0,0.0,0.0,0.0,0.0,32,0.1,9,1.5018378534444403,1024
1,4,12283,0,1.0,1.0,0.0003255473264425816,0.2,0.33333333333333337,0.2,1,0.25,0,4.25606977356837,1
0,7,12280,1,0.0,0.0,0.0005697078212745178,0.0,0.0,0.0,1,0.25,1,3.1357562676569923,1
0,7,12280,1,0.0,0.0,0.0005697078212745178,0.0,0.0,0.0,1,0.25,2,2.714771616421787,1
0,6,12281,1,0.0,0.0,0.0004883209896638724,0.0,0.0,0.0,1,0.25,3,3.128071668042967,1
0,7,12280,1,0.0,0.0,0.0005697078212745178,0.0,0.0,0.0,1,0.25,4,2.770716485297906,1
1,7,12280,0,1.0,1.0,0.0005697078212745178,0.125,0.2222222222222222,0.125,1,0.25,5,6.548058198294725,1
0,5,12282,1,0.0,0.0,0.000406934158053227,0.0,0.0,0.0,1,0.25,6,3.1441239971382444,1
1,4,12283,0,1.0,1.0,0.0003255473264425816,0.2,0.33333333333333337,0.2,1,0.25,7,3.879158485035595,1
1,3,12284,0,1.0,1.0,0.0002441604948319362,0.25,0.4,0.25,1,0.25,8,4.619482549063559,1
1,7,12280,0,1.0,1.0,0.0005697078212745178,0.125,0.2222222222222222,0.125,1,0.25,9,3.5009117213334013,1
4,1,12283,0,1.0,1.0,8.140670791273201e-05,0.8,0.888888888888889,0.8,2,0.25,0,4.43789120443689,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.25,1,4.432917168426238,4
4,0,12284,0,1.0,1.0,0.0,1.0,1.0,1.0,2,0.25,2,4.666273380885637,4
