temperature_K,power_W
280,8.602584900394017e-09
300,1.1906827753430006e-08
320,1.5871413569888524e-08
340,2.0504798538837547e-08
360,2.5804368780924192e-08
380,3.1758883544188975e-08
400,3.8350665940228925e-08
420,4.5557467622426804e-08
