filter,label,snr_before,snr_after,snr_improvement,tpr,fpr,precision,iou,contrast_change
bilateral,bilateral_d5,0.8962995045949476,0.8463804225607205,-0.04991908203422698,0.9991610738255033,0.0019427739791855452,0.8648151733786952,0.864150042102799,-1.6077402438672397
bilateral,bilateral_d9,0.8962995045949476,0.73772795933278,-0.15857154526216746,0.9991610738255033,0.00847475080319631,0.5930332430195098,0.5927134536913122,-4.414151987031302
gaussian,gaussian_k3_s1,0.8962995045949476,2.2676807019360137,1.371381197341066,0.9935682326621924,0.010925529285773129,0.529851255096466,0.527826348636348,-2.179134846324922
gaussian,gaussian_k5_s1p4,0.8962995045949476,3.249373114837057,2.353073610242109,0.9980425055928412,0.02770340774912815,0.3095833082862341,0.30936428615683614,-3.407569726899466
median,median_k3,0.8962995045949476,11.067429232326537,10.17112972773159,0.9756711409395974,0.00013386605156932204,0.9891053502030309,0.9652370347429504,-0.9996825859896354
median,median_k5,0.8962995045949476,14.926565185270357,14.030265680675411,0.9415548098434005,5.1486942911277704e-05,0.9956685939443913,0.9376260804898671,-2.2779450422477736
nlm,nlm_h10,0.8962995045949476,0.3699946243944592,-0.5263048802004884,0.0,0.0,0.0,0.0,-14.216913604098929
nlm,nlm_h5,0.8962995045949476,0.4553185127775417,-0.44098099181740585,0.0,0.0,0.0,0.0,-12.101210497918709
none,none,0.8962995045949476,0.8962995045949476,0.0,0.9395973154362416,3.4324628607518465e-06,0.9997106481481483,0.9393307233407905,0.0
