tp,fp,tn,fn,tpr,recall,fpr,precision,f1,iou,filter,label,frame_idx,snr_before,snr_after,snr_improvement,contrast_before,contrast_after,contrast_change,params
140,0,12139,9,0.9395973154362416,0.9395973154362416,0.0,1.0,0.9688581314878892,0.9395973154362416,none,none,0,0.8729022746261866,0.8729022746261866,0.0,23.19522589570633,23.19522589570633,0.0,{}
140,0,12139,9,0.9395973154362416,0.9395973154362416,0.0,1.0,0.9688581314878892,0.9395973154362416,none,none,1,0.9132258850474145,0.9132258850474145,0.0,23.417759761038013,23.417759761038013,0.0,{}
133,0,12139,16,0.8926174496644296,0.8926174496644296,0.0,1.0,0.9432624113475176,0.8926174496644296,none,none,2,0.7472847494486167,0.7472847494486167,0.0,22.423951962087614,22.423951962087614,0.0,{}
138,0,12139,11,0.9261744966442953,0.9261744966442953,0.0,1.0,0.9616724738675958,0.9261744966442953,none,none,3,1.1062823845290635,1.1062823845290635,0.0,26.000810869276535,26.000810869276535,0.0,{}
142,0,12139,7,0.9530201342281879,0.9530201342281879,0.0,1.0,0.9759450171821306,0.9530201342281879,none,none,4,0.8855104426545294,0.8855104426545294,0.0,23.531814274788587,23.531814274788587,0.0,{}
140,0,12139,9,0.9395973154362416,0.9395973154362416,0.0,1.0,0.9688581314878892,0.9395973154362416,none,none,5,0.9737528142512779,0.9737528142512779,0.0,23.063294779970335,23.063294779970335,0.0,{}
139,0,12139,10,0.9328859060402684,0.9328859060402684,0.0,1.0,0.9652777777777778,0.9328859060402684,none,none,6,0.9052996090199855,0.9052996090199855,0.0,21.364602525680368,21.364602525680368,0.0,{}
140,0,12139,9,0.9395973154362416,0.9395973154362416,0.0,1.0,0.9688581314878892,0.9395973154362416,none,none,7,0.9282303447279603,0.9282303447279603,0.0,22.913927585287183,22.913927585287183,0.0,{}
137,0,12139,12,0.9194630872483222,0.9194630872483222,0.0,1.0,0.958041958041958,0.9194630872483222,none,none,8,0.9263648489851434,0.9263648489851434,0.0,22.868457417114143,22.868457417114143,0.0,{}
144,0,12139,5,0.9664429530201343,0.9664429530201343,0.0,1.0,0.9829351535836178,0.9664429530201343,none,none,9,0.9721968411334363,0.9721968411334363,0.0,23.990665506444003,23.990665506444003,0.0,{}
